epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,16603.8,1.18135,0.87291,0.00793,0.89002,0.86242,0.91981,0.61784,1.13641,0.52924,0.00962,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,16927.8,1.17953,0.86169,0.0078,0.89102,0.86583,0.92132,0.6207,1.12823,0.5207,0.00949,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,17250.6,1.17194,0.85736,0.0077,0.89857,0.85437,0.92092,0.61931,1.13124,0.5208,0.00949,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,17574.7,1.16768,0.85709,0.00767,0.88786,0.86922,0.92321,0.62174,1.12504,0.51943,0.00933,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,17898.9,1.17059,0.85791,0.00771,0.88889,0.86333,0.92338,0.62358,1.11887,0.52028,0.0093,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,18220.8,1.16567,0.84915,0.00773,0.8845,0.87192,0.92526,0.62795,1.11291,0.513,0.00922,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,18544.4,1.16263,0.84381,0.00766,0.89991,0.86199,0.9251,0.62884,1.1106,0.51201,0.00916,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,18863.9,1.15722,0.83761,0.00762,0.90309,0.86042,0.92672,0.6303,1.10836,0.50571,0.00913,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,19187.1,1.16194,0.83658,0.00765,0.90187,0.86137,0.92724,0.63135,1.10713,0.50362,0.00917,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,19509,1.15349,0.83244,0.00757,0.8992,0.869,0.92872,0.63227,1.10362,0.50359,0.00917,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,19831.2,1.14865,0.826,0.00756,0.90458,0.86578,0.92915,0.63368,1.10041,0.49662,0.00916,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,20152.6,1.14365,0.82127,0.00754,0.90161,0.8717,0.92959,0.63436,1.09726,0.49685,0.00913,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,20472.6,1.13968,0.81254,0.00746,0.90441,0.8702,0.93036,0.63632,1.09197,0.49541,0.00903,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,20795.3,1.13836,0.81865,0.00744,0.91004,0.8691,0.93185,0.6385,1.0885,0.49024,0.00894,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,21118.6,1.13559,0.80904,0.00745,0.89689,0.87773,0.93201,0.6399,1.08514,0.48788,0.00888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,21440.4,1.13546,0.79952,0.0074,0.90358,0.87159,0.93197,0.63983,1.08498,0.48858,0.00886,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
