epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5828.75,1.33507,1.0657,0.01551,0.86815,0.79553,0.87899,0.5837,1.20093,0.72857,0.01944,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5944.72,1.33041,1.05616,0.01562,0.88443,0.79083,0.88019,0.58719,1.19927,0.7103,0.0195,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,6063.82,1.34262,1.05735,0.01542,0.86248,0.80519,0.88503,0.5896,1.19934,0.72183,0.01932,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,6181.85,1.327,1.03652,0.01543,0.87153,0.80146,0.87852,0.58455,1.20069,0.72918,0.01943,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,6301.03,1.33977,1.04415,0.01541,0.87139,0.81291,0.88453,0.59093,1.20056,0.69168,0.01942,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,6418.13,1.32381,1.0336,0.01534,0.87921,0.80145,0.88459,0.59026,1.19531,0.7054,0.01946,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,6536.46,1.32237,1.03841,0.0154,0.86479,0.79711,0.87991,0.59027,1.19341,0.73502,0.01941,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,6652.68,1.31986,1.03416,0.01541,0.86772,0.8082,0.88397,0.59429,1.18915,0.70375,0.01915,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,6772.54,1.32777,1.02792,0.01536,0.86923,0.80267,0.88199,0.5949,1.18138,0.7065,0.01913,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6889.5,1.32306,1.03974,0.01533,0.87131,0.81249,0.88723,0.59273,1.17609,0.70884,0.01894,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,7008.76,1.31335,1.02678,0.01534,0.86863,0.81582,0.88627,0.59579,1.18245,0.69666,0.01899,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,7125.53,1.3117,1.02332,0.01523,0.87479,0.80696,0.88442,0.6006,1.17309,0.70896,0.01879,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,7243.93,1.31211,1.01589,0.01513,0.88096,0.81709,0.88815,0.5967,1.18319,0.67825,0.019,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7360.77,1.30223,1.01854,0.0149,0.86983,0.81867,0.88765,0.60062,1.17129,0.70458,0.0187,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,7479.84,1.31267,1.00539,0.01523,0.87946,0.81257,0.88799,0.5992,1.17867,0.68534,0.01879,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,7596.24,1.30313,1.01221,0.01521,0.8781,0.80347,0.88559,0.60094,1.16269,0.68992,0.01845,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7714.9,1.29567,1.00445,0.01494,0.88444,0.81232,0.89218,0.60656,1.16752,0.69407,0.01869,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7831.38,1.3014,0.99046,0.01492,0.87562,0.82884,0.89345,0.60595,1.15931,0.69863,0.01849,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7949.92,1.30249,0.99713,0.01516,0.88318,0.81812,0.89244,0.60993,1.15516,0.67005,0.01838,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,8066.52,1.29886,0.98983,0.01487,0.87381,0.80484,0.88705,0.60887,1.15778,0.68262,0.01847,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8184.25,1.29537,1.00401,0.01486,0.89116,0.80929,0.88928,0.60791,1.16318,0.68399,0.01858,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,8301.19,1.29529,0.98913,0.01491,0.87424,0.81838,0.8909,0.6077,1.15066,0.67425,0.01843,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8419.94,1.29671,0.99371,0.01479,0.88853,0.81236,0.89072,0.61043,1.15228,0.67314,0.0184,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,8536.81,1.30264,0.98293,0.01476,0.8929,0.80647,0.89297,0.61444,1.14887,0.66741,0.01807,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8656.19,1.27454,0.97404,0.01468,0.87216,0.8255,0.89083,0.60941,1.14747,0.68113,0.01815,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
